accuracy,epoch,loss,step,train_accuracy_epoch,validation_accuracy
0.3125,1,1.5267820358276367,15899,,
0.46875,1,1.3604907989501953,15949,,
0.28125,1,1.7164496183395386,15999,,
0.34375,1,1.5423022508621216,16049,,
0.34375,1,1.6579011678695679,16099,,
0.34375,1,1.455561876296997,16149,,
0.28125,1,1.6203527450561523,16199,,
0.34375,1,1.6522376537322998,16249,,
0.3125,1,1.6998047828674316,16299,,
0.4375,1,1.50864839553833,16349,,
0.1875,1,1.649174451828003,16399,,
0.3125,1,1.6595842838287354,16449,,
0.375,1,1.6111080646514893,16499,,
0.28125,1,1.6463181972503662,16549,,
0.34375,1,1.5213216543197632,16599,,
0.28125,1,1.4917138814926147,16649,,
0.15625,1,1.6953551769256592,16699,,
0.34375,1,1.432246446609497,16749,,
0.21875,1,1.708011507987976,16799,,
0.28125,1,1.6406211853027344,16849,,
0.21875,1,1.6300384998321533,16899,,
0.28125,1,1.6915473937988281,16949,,
0.28125,1,1.6861884593963623,16999,,
0.46875,1,1.4288095235824585,17049,,
0.3125,1,1.5988969802856445,17099,,
0.25,1,1.592004656791687,17149,,
0.25,1,1.7227764129638672,17199,,
0.25,1,1.4816704988479614,17249,,
0.09375,1,1.5968809127807617,17299,,
0.34375,1,1.4866548776626587,17349,,
0.375,1,1.4434058666229248,17399,,
0.4375,1,1.5545169115066528,17449,,
0.21875,1,1.859701156616211,17499,,
0.375,1,1.4782359600067139,17549,,
0.46875,1,1.5042954683303833,17599,,
0.3125,1,1.6360164880752563,17649,,
0.25,1,1.556792140007019,17699,,
0.4375,1,1.6254303455352783,17749,,
0.34375,1,1.5764498710632324,17799,,
0.25,1,1.7353835105895996,17849,,
0.3125,1,1.4265387058258057,17899,,
0.4375,1,1.6692676544189453,17949,,
0.34375,1,1.6776331663131714,17999,,
0.1875,1,1.7048476934432983,18049,,
0.28125,1,1.6997920274734497,18099,,
0.40625,1,1.8126115798950195,18149,,
0.28125,1,1.651197075843811,18199,,
,1,,18235,,0.339283287525177
,1,,18235,0.33394911885261536,
0.28125,2,1.7131586074829102,18249,,
0.375,2,1.636383056640625,18299,,
0.375,2,1.5599933862686157,18349,,
0.21875,2,1.6146910190582275,18399,,
0.21875,2,1.6740543842315674,18449,,
0.4375,2,1.7426567077636719,18499,,
0.34375,2,1.4631106853485107,18549,,
0.46875,2,1.5269578695297241,18599,,
0.28125,2,1.571252465248108,18649,,
0.3125,2,1.5742204189300537,18699,,
0.28125,2,1.5160404443740845,18749,,
0.53125,2,1.5811671018600464,18799,,
0.25,2,1.6053428649902344,18849,,
0.3125,2,1.5815263986587524,18899,,
0.3125,2,1.4905860424041748,18949,,
0.25,2,1.6419976949691772,18999,,
0.3125,2,1.5680495500564575,19049,,
0.25,2,1.7665826082229614,19099,,
0.1875,2,1.5402272939682007,19149,,
0.3125,2,1.6742653846740723,19199,,
0.15625,2,1.7977359294891357,19249,,
0.375,2,1.6138216257095337,19299,,
0.25,2,1.4568389654159546,19349,,
0.34375,2,1.503801703453064,19399,,
0.09375,2,1.7680646181106567,19449,,
0.28125,2,1.690459966659546,19499,,
0.53125,2,1.4824004173278809,19549,,
0.28125,2,1.4847453832626343,19599,,
0.25,2,1.6961479187011719,19649,,
0.4375,2,1.5521621704101562,19699,,
0.40625,2,1.4967398643493652,19749,,
0.375,2,1.5163501501083374,19799,,
0.34375,2,1.5116777420043945,19849,,
0.375,2,1.44344961643219,19899,,
0.3125,2,1.4992886781692505,19949,,
0.25,2,1.4674088954925537,19999,,
0.1875,2,1.6280488967895508,20049,,
0.375,2,1.4018490314483643,20099,,
0.3125,2,1.7376140356063843,20149,,
0.34375,2,1.5343999862670898,20199,,
0.3125,2,1.488749384880066,20249,,
0.28125,2,1.6102830171585083,20299,,
0.15625,2,1.81694495677948,20349,,
0.25,2,1.7690664529800415,20399,,
0.1875,2,1.914318561553955,20449,,
0.46875,2,1.4045214653015137,20499,,
0.28125,2,1.612657904624939,20549,,
0.34375,2,1.4975353479385376,20599,,
0.40625,2,1.480302333831787,20649,,
0.28125,2,1.7550221681594849,20699,,
0.4375,2,1.4865728616714478,20749,,
0.28125,2,1.5872279405593872,20799,,
0.3125,2,1.4257150888442993,20849,,
0.375,2,1.406832218170166,20899,,
0.28125,2,1.7292741537094116,20949,,
0.34375,2,1.575531005859375,20999,,
0.3125,2,1.4343931674957275,21049,,
0.40625,2,1.4357472658157349,21099,,
0.25,2,1.675716519355774,21149,,
0.21875,2,1.6147081851959229,21199,,
0.34375,2,1.4133076667785645,21249,,
0.1875,2,1.8018063306808472,21299,,
0.375,2,1.5873465538024902,21349,,
0.40625,2,1.5569088459014893,21399,,
0.21875,2,1.5172863006591797,21449,,
0.25,2,1.4422335624694824,21499,,
0.34375,2,1.5510464906692505,21549,,
0.25,2,1.5890523195266724,21599,,
0.34375,2,1.6643955707550049,21649,,
0.3125,2,1.6073352098464966,21699,,
0.4375,2,1.433924674987793,21749,,
0.4375,2,1.4569652080535889,21799,,
0.21875,2,1.702944278717041,21849,,
0.25,2,1.6027907133102417,21899,,
0.21875,2,1.7101495265960693,21949,,
0.40625,2,1.5306428670883179,21999,,
0.375,2,1.5847033262252808,22049,,
0.3125,2,1.6823657751083374,22099,,
0.3125,2,1.5732907056808472,22149,,
0.4375,2,1.4791043996810913,22199,,
0.28125,2,1.6244208812713623,22249,,
0.25,2,1.7226829528808594,22299,,
0.25,2,1.7095060348510742,22349,,
0.40625,2,1.5596230030059814,22399,,
0.25,2,1.6402291059494019,22449,,
0.40625,2,1.6422022581100464,22499,,
0.3125,2,1.5861897468566895,22549,,
0.375,2,1.5086811780929565,22599,,
0.40625,2,1.3966689109802246,22649,,
0.375,2,1.6792134046554565,22699,,
0.25,2,1.5026803016662598,22749,,
0.4375,2,1.4762789011001587,22799,,
0.375,2,1.462094783782959,22849,,
0.3125,2,1.6170114278793335,22899,,
0.34375,2,1.566495656967163,22949,,
0.40625,2,1.4347734451293945,22999,,
0.40625,2,1.5765800476074219,23049,,
0.25,2,1.6371872425079346,23099,,
0.21875,2,1.5965216159820557,23149,,
0.46875,2,1.548327088356018,23199,,
0.375,2,1.6769641637802124,23249,,
0.125,2,1.790202260017395,23299,,
0.46875,2,1.4037593603134155,23349,,
0.3125,2,1.4884470701217651,23399,,
0.34375,2,1.5286810398101807,23449,,
0.375,2,1.5389221906661987,23499,,
